frame,t,x3d,y3d,z3d,vx,vy,vz,speed,ax,ay,az
46,1.5333333333333334,4.153846153846154,6.3076923076923075,2.381184615384615,4.615384615384615,-0.7692307692307692,-3.990961538461539,6.149899602899192,0.0,0.0,-9.81
47,1.5666666666666667,4.3076923076923075,6.282051282051282,2.242702564102564,4.615384615384615,-0.7692307692307692,-4.317961538461537,6.366968114565478,0.0,0.0,-9.81
48,1.6,4.461538461538462,6.256410256410256,2.0933205128205126,4.615384615384615,-0.7692307692307692,-4.644961538461539,6.5931145006019225,0.0,0.0,-9.81
49,1.6333333333333333,4.615384615384615,6.230769230769231,1.9330384615384621,4.615384615384615,-0.7692307692307692,-4.971961538461537,6.827436756514201,0.0,0.0,-9.81
50,1.6666666666666667,4.76923076923077,6.205128205128205,1.76185641025641,4.615384615384615,-0.7692307692307692,-5.298961538461539,7.069121905184195,0.0,0.0,-9.81
51,1.7,4.923076923076923,6.17948717948718,1.5797743589743594,4.615384615384615,-0.7692307692307692,-5.625961538461537,7.317440423844177,0.0,0.0,-9.81
52,1.7333333333333334,5.076923076923077,6.153846153846154,1.3867923076923077,4.615384615384615,-0.7692307692307692,-5.952961538461539,7.571739707799174,0.0,0.0,-9.81
53,1.7666666666666666,5.23076923076923,6.128205128205129,1.1829102564102572,4.615384615384615,-0.7692307692307692,-6.279961538461537,7.831437163689468,0.0,0.0,-9.81
54,1.8,5.384615384615385,6.102564102564102,0.9681282051282049,4.615384615384615,-0.7692307692307692,-6.6069615384615386,8.096013333423459,0.0,0.0,-9.81
55,1.8333333333333333,5.538461538461538,6.076923076923077,0.7424461538461544,4.615384615384615,-0.7692307692307692,-6.933961538461537,8.36500530430939,0.0,0.0,-9.81
56,1.8666666666666667,5.692307692307692,6.051282051282051,0.505864102564103,4.615384615384615,-0.7692307692307692,-7.2609615384615385,8.638000554947778,0.0,0.0,-9.81
57,1.9,5.846153846153845,6.0256410256410255,0.2583820512820526,4.615384615384615,-0.7692307692307692,-7.587961538461537,8.914631312254699,0.0,0.0,-9.81
58,1.9333333333333333,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
